,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
Precentral_L,1.0,0.6926188917826529,0.57871074106479,0.5600283190241845,0.32519441944353167,0.45501943253983,0.5868726081092002,0.46073129791463385,0.25297769073097714,0.282667058821032,0.5494402355775547,0.6010407817491052,0.6315834418664678,0.47963535542527735,0.5320440028996184,0.39235705415305844,0.450896846972031,0.12195470917018325,0.6720669029033882,0.5500980091037965,-0.05875710344168268,-0.23465246193786912,0.33932585763500783,0.5419395346295413,0.018709193771094538,0.22172845186319243,0.08182839894105222,-0.2546295126087127,0.42002796267710174,0.0448217086570711,0.13447603012191503,0.27366211492829945,0.4719876861663673,0.5057425113282503,0.4490441279879547,0.4192582262254244,0.5001117936062682,0.2987379077178469,0.3763982802224535,0.28454667798616307,0.46170895243243826,0.402757933429677,0.5513677212571636,0.41664732257916803,0.4173954272135064,0.5583911813904086,0.6572761972077328,0.6105291125521585,0.5985738403468106,0.5364964291209047,0.6399265629574089,0.5775104876823216,0.5914465420670166,0.6139721937918354,0.6409929941463063,0.6852398613085194,0.6825943612101779,0.655876320393511,0.5690355553379891,0.5676913219672373,0.6404378850024766,0.4292056058235174,0.5031634569626641,0.43195443951910084,0.27727162342400447,0.3894352139846824,0.6585081269791908,0.5825649809593296,0.622058232846694,0.5915261087047301,0.5841905684296342,0.535182858435211,0.5425536496843418,0.497920004325511,0.36894404553701937,0.33761200106457157,0.6510774632937061,0.7040163416691539,0.3617967124955021,-0.06383539270618313,0.48572305698281076,0.630509068201218,0.5018469433307906,0.5286801103557887,0.6374315829171331,0.6249794236922159,0.4620613137799939,0.2835305364669305,0.6009521595757944,0.6608978670606769
Precentral_R,0.6926188917826529,1.0,0.6246197401002755,0.7622534830804439,0.1377481097902826,0.5606714276461803,0.7263684186512853,0.7384715193120993,0.26240653739621506,0.4627578257680593,0.6679462126018194,0.7740804036026896,0.7555131763184902,0.6730321955067662,0.6618045854932446,0.46322262332930514,0.637970211363122,0.4084298881447935,0.7623668554411002,0.7954031624556864,-0.3792093976637036,-0.46498430540647623,0.5029292163038058,0.6960732012736504,0.04773405717992827,0.5248073290303866,-0.17647233530385972,-0.42266124099835456,0.6956974059157522,0.28289784328115425,0.3683954298551573,0.5853483266366112,0.6334371363091104,0.7428452180362936,0.4571471838961973,0.6022011153643423,0.6627614318779562,0.5516638029196038,0.5330429358652788,0.24192474918344792,0.5670370227192024,0.38861288794719223,0.6878323682909445,0.6373811670808298,0.6700384393318001,0.7621914626850386,0.7083915736513553,0.6510941146689061,0.7298002468992397,0.6717997009972013,0.70173116687892,0.6110264876508485,0.7208443354743203,0.5241058072829071,0.6788761336571417,0.555095148642949,0.5531357082285183,0.786751562838371,0.22151989234736907,0.544843023955379,0.5140003269358397,0.7307193377085445,0.4207942954891894,0.5892244515083307,0.3619604526591892,0.652139426052625,0.5729049172081195,0.6871879100033683,0.6287961837775794,0.6079109158176486,0.5752586765757782,0.6134874598844053,0.6218930817011229,0.5923338919216233,0.43941237685405504,0.3790807664852368,0.7116840636920057,0.6478347653263988,0.5353428333953069,0.14411504272786646,0.6894301724114721,0.6756919944133252,0.7212204752377218,0.4852546939167145,0.7166736057807631,0.553709273940754,0.6113983501332588,0.11342460839475532,0.7177031683594203,0.5266913659231308
Frontal_Sup_L,0.57871074106479,0.6246197401002755,1.0,0.7800701093299369,0.3057003266823753,0.5359184436790495,0.8578488975977803,0.7065820706771498,0.363786343047777,0.30424160106122644,0.6733247828735504,0.5603711987515338,0.7615028782162883,0.5045262559469476,0.5558158686668397,0.15066731492636054,0.3439613128288026,0.02785507851383693,0.631744042708367,0.651015725331645,-0.44868069002491984,-0.5296302739640062,0.7510506308565326,0.7425585953342637,0.08020836119337399,0.5156626502327574,-0.21097307026439566,-0.5265345930472022,0.5390851494166626,-0.07000906506117584,0.31134554775577616,0.5022106886328574,0.576428338499177,0.5928342487551419,0.61235424585903,0.688350463952625,0.7031448338783836,0.4785714997010289,0.5276861147213469,0.09303158586177043,0.5230933145782972,0.3481387996244232,0.47974653423724073,0.39593794388573894,0.5865249363747264,0.6241900609931014,0.6027800308991808,0.4604700600514391,0.5915343518063777,0.4563018400101229,0.6841024942017159,0.4967515610543023,0.6914473849895693,0.4212227576387335,0.623571547075332,0.45940069100513237,0.23881762539711546,0.44546867377837995,0.22703103521539864,0.5408350401271366,0.6299029289202629,0.6290933430123061,0.46553388399110807,0.4010988413501712,0.7200654072885461,0.7079373981619385,0.704136392616639,0.7638827681387302,0.5116754971603786,0.38226312041261845,0.5437242519429012,0.5284722336678466,0.4890829533009376,0.3082603600529404,0.39401812371375433,0.3242515057566319,0.6380387167743647,0.5309365986341384,0.23533747527649412,-0.19747323146483933,0.5696461145932264,0.40064109820992044,0.6757344413185391,0.41021298052703703,0.7680162884143081,0.4035766471436637,0.5475877376609766,0.1635476417022906,0.7170944260263561,0.49880474841815564
Frontal_Sup_R,0.5600283190241845,0.7622534830804439,0.7800701093299369,1.0,0.23353557096712738,0.7336079976422103,0.8096344982528604,0.8916779831996378,0.3015501955854504,0.5303974727040517,0.7258857192422884,0.7839805840185848,0.7757935098646773,0.7096474946106659,0.6205405214568953,0.3723843874427375,0.4437741034994917,0.1477915566782541,0.678926215462764,0.7913202655416391,-0.48393757556334166,-0.5106599501136492,0.6600457451815857,0.8801215333694499,-0.041743050908531906,0.5781729972662635,-0.20615219971799484,-0.5281540378201153,0.6737310584116578,0.0948803810142996,0.3374517549810288,0.6639254044778772,0.5909860603783297,0.7530485915847454,0.5417254382467298,0.7660124602691024,0.6735586948519264,0.483978892267454,0.542800909925441,0.16924054661439594,0.5034856126577879,0.3091355072192858,0.599699809505541,0.5335381899503615,0.6741061952804084,0.7851001681743633,0.6649873839546645,0.5992932809698219,0.7450243838625071,0.6349770944314841,0.7253819844303458,0.5879504128642983,0.75075815237645,0.4871899871001735,0.72066157065347,0.542685946827297,0.2630244506884943,0.5764786348367247,0.17715804690753464,0.58716971648297,0.48945720278288035,0.812401910719465,0.4498781273360527,0.5924117046788065,0.47373209186159515,0.7329840589030068,0.633100370263469,0.7967504583328999,0.4658518326967508,0.42599148893758904,0.5246676953038657,0.5948263367053681,0.5719252250630271,0.4404771989306198,0.5353635525013487,0.39073580377753636,0.7100480723294226,0.6013676700084986,0.30214799451147456,-0.08763729963772862,0.6572344479288775,0.466954195616844,0.7193149444408146,0.3623695937046356,0.7427591938638239,0.4419691715472692,0.6185452944850812,0.17646604138911853,0.720699785639782,0.5255456075506676
Frontal_Sup_Orb_L,0.32519441944353167,0.1377481097902826,0.3057003266823753,0.23353557096712738,1.0,0.4034888383801026,0.17237103182107513,0.20823408410897462,0.6089702331792487,0.34549899395602546,0.23226515908758646,0.21523929962044136,0.29796196514186934,0.17921969925415704,0.4086763339781477,0.25046358782148775,0.011258426093354774,-0.07944332607337619,0.13088443573712197,0.11996831327085385,0.28552259243313327,0.04091119518307303,0.2858277188640706,0.36635905386277295,0.10373831719466742,0.0573896022663944,0.5572776853617349,0.19559954993249629,0.12159255937807632,-0.08842478058510386,-0.04735118448507349,0.11528104552946718,0.1016021696871379,0.12279855077147682,0.2605402260490417,0.2743718522929392,0.19238433972440835,0.08578331645914554,0.1323359210938226,0.011521764651048778,0.2947838269659994,0.3082139648573087,0.10178357311837966,0.033660091220685494,0.0735572627445443,0.1280286544736275,0.07700871014448862,0.11462715645314504,0.18745304702939533,0.13735092636100685,0.194750436010146,0.17003076657281357,0.1838177677139936,0.24608210468304964,0.21032669083795624,0.18809914373542247,0.18486858305226242,0.10803108268974346,0.1965819269645103,0.27179349591445634,0.3748565618824945,0.2079979524316134,0.21187264903974304,0.10171289245497296,0.23258776635685663,0.2664984480752148,0.28971588104025,0.3183427245990354,0.20373656060556702,0.0923030553736731,0.28885840403398927,0.26836893069145573,0.2168355231311229,0.1357900081847456,0.14510075224548233,0.09876928311457868,0.2056696107460982,0.23020537169968802,-0.015844038970345177,-0.2543586233903755,0.1488985950777628,0.14877173970443322,0.23012554919244885,0.1630228389066617,0.28277592054428735,0.15083463278982756,0.367064658549961,0.13266138166930622,0.29284515932678523,0.33118748049515423
Frontal_Sup_Orb_R,0.45501943253983007,0.5606714276461803,0.5359184436790495,0.7336079976422103,0.4034888383801026,1.0,0.5211067259239025,0.578909985848563,0.303285111567361,0.5353440992342601,0.6485501024941546,0.569611214327919,0.6363254288786172,0.45011998415557425,0.49498315758344186,0.3371372267742665,0.3478999119370107,0.09288831461867621,0.45606027018293366,0.6236980847660833,-0.3935186386087086,-0.44813716721298413,0.40886445424607526,0.7954504617425333,-0.1811917577508947,0.481792097323565,0.04101719522855115,-0.3463311725421218,0.5588658824836025,0.018869743422785773,0.07468544800156857,0.4660795863901592,0.2973814832602103,0.49583168397559646,0.43155001538697435,0.6744661079297706,0.5995148510927092,0.39705258483417777,0.4862903342917004,0.1640594094758363,0.5088680410537417,0.3052690911082239,0.4960153412948166,0.413527287788653,0.48500205094170457,0.610901063710394,0.524604257680184,0.4919234476277277,0.623369823355488,0.5288709170350842,0.5859485834834367,0.4280284740968078,0.6146029841867618,0.37520662406707866,0.6375729517934607,0.4390577386679514,0.19079245061110928,0.42008006634799705,0.05295838781591568,0.40484047034684145,0.326179662758478,0.6017109093135095,0.3816285361420959,0.4068238112284702,0.34412178982125663,0.5545871076520835,0.44955275436286496,0.6420670243499089,0.28472433772624944,0.2162524258436389,0.39111683292831917,0.43989097642524927,0.45478600492677934,0.3341861657054472,0.5002639672976493,0.2806395385897715,0.6395331593880804,0.5067972651768673,0.21907288834600394,-0.14440306206727896,0.5537698135899474,0.34054903306071016,0.6646254841869533,0.3333612109737729,0.6243529961825239,0.25661624883058315,0.6540906469748881,0.11896396945106995,0.6273981535187367,0.4138634715487743
Frontal_Mid_L,0.5868726081092002,0.7263684186512854,0.8578488975977803,0.8096344982528604,0.1723710318210751,0.5211067259239025,1.0,0.7850686869212137,0.4615214652770381,0.4687182310804082,0.6796352100402117,0.6052307218034384,0.766208133778723,0.5335450158586532,0.6109485515833651,0.22711115405433005,0.3779056582161001,0.09536490247409751,0.7037528274137468,0.7034801071057764,-0.501840207369335,-0.4327062209830684,0.755216456366922,0.7205975287944488,0.07064348288845324,0.5495035233020708,-0.22032419065823816,-0.4573787275730052,0.5918839355598816,0.009395653812061883,0.4226889663304309,0.6028913349872197,0.6843195814268829,0.7179161093183148,0.6580966076849228,0.7110239118546964,0.6096796330850465,0.43625865688067705,0.4531095124780328,0.13600626269932944,0.4353533355392816,0.24225596640491753,0.563672737626881,0.4744695220461294,0.6687050998373266,0.6849526222241822,0.614931244067126,0.5136305415296506,0.6214234861726722,0.5608254843243271,0.6380310968751043,0.5003614956298486,0.6538975213766867,0.4082698293508769,0.5905692824112374,0.42145544957960496,0.3118427790210944,0.536805495858971,0.19765340657325647,0.543760852995651,0.6594580303961586,0.7592794953947954,0.3671876440974368,0.46135080529819406,0.6507469343551221,0.7565172102320332,0.7034711350954689,0.7586691279539048,0.5068002225930601,0.4310769765468677,0.5693197951159137,0.6072252193115764,0.5505662238251016,0.42146035386945624,0.48313901364928574,0.4344335679032958,0.6407278075237166,0.5511407188895876,0.3281491869435414,-0.08502684066799542,0.5385602681077686,0.4237298348691264,0.6161157937337284,0.2824081359040414,0.7157782803467445,0.4023269687957086,0.5492201294584819,0.10079633448748967,0.666740468106432,0.49388188970377517
Frontal_Mid_R,0.46073129791463385,0.7384715193120993,0.7065820706771498,0.8916779831996378,0.20823408410897462,0.5789099858485631,0.7850686869212137,1.0,0.3342320307014153,0.5689161747393925,0.6024706400422423,0.7549614163921301,0.6975623821696246,0.7390345928021339,0.6028396320351102,0.3922572518712205,0.41691075404917444,0.23434657124357852,0.663146559808842,0.7200251046620094,-0.38028820868491675,-0.42715736437521173,0.6746538380949236,0.7884350661654438,0.07825542561086189,0.5657335922083415,-0.2439320360151618,-0.4502805429109838,0.6454678248593981,0.20949770065650308,0.4492200875811235,0.703800875934867,0.6655770927453079,0.7851376926526028,0.49306742763349604,0.6873151846844285,0.5634346745183682,0.43450398445992205,0.4353230938929234,0.08107326387066148,0.4008187340124341,0.23972045696441677,0.5754483880710584,0.5345872509352709,0.6848529290770755,0.7312678477949885,0.5763000298795038,0.5332690957821173,0.6588865764316123,0.5626756117431422,0.6062783680819834,0.5122346352391374,0.6491995578266831,0.3881227504406644,0.5624419544263113,0.41326779429312427,0.25557504050286384,0.5494205135646991,0.13246593177003,0.5386316582439206,0.4677486545110468,0.8351427334505829,0.337702944575621,0.601539948400238,0.41082066455975463,0.7090380867500894,0.5619592401118734,0.7209826973071567,0.43696193950567874,0.4525232495551505,0.4991283142806833,0.5966946152681817,0.5270623218621693,0.4335500570369475,0.45717181706921317,0.37017069335404995,0.5942623383821339,0.5119020764879852,0.30104952036667426,0.034270056525825016,0.5833526782648359,0.424445427814663,0.6186304455391004,0.25041011661029866,0.6200988151265,0.381777463627839,0.4869357498485991,0.1098005369983439,0.6094015337030859,0.4490748079596437
Frontal_Mid_Orb_L,0.25297769073097714,0.26240653739621506,0.363786343047777,0.3015501955854504,0.6089702331792486,0.30328511156736104,0.4615214652770381,0.3342320307014152,1.0,0.5737820033218279,0.25940985976593867,0.1928699300073589,0.35132964067860106,0.1442677003545105,0.5456745259511415,0.16615010648650277,0.03516918467286659,-0.0250850804485391,0.29038677233809895,0.2082137327117945,0.023137315684863987,0.11659396416749859,0.5024642474808101,0.34903782567529484,0.20910371152194587,0.2388099649051577,0.4202703943088107,0.1913219499434203,0.22546802621696757,-0.053835131688575254,0.25201947319592516,0.30669552362295643,0.39585234822726617,0.33353287144063454,0.4322185073557158,0.40974529656724873,0.10752962101831558,0.04326597159749124,0.06241425680209501,0.038389878069791696,0.14083289057137008,0.06689807818733465,0.24357664222370692,0.15909762455305387,0.3249416080151283,0.2666019993259162,0.04356792092397041,0.09041067871156512,0.250280655243089,0.3076848748965487,0.15524622896652585,0.18212810906224147,0.1637723096619722,0.14386848005672312,0.11151874377328283,0.004155410116795956,0.15390671876289083,0.11599484334332985,0.05225526432042128,0.25476853695942964,0.42802755002045545,0.4289398136430089,0.05025039244784963,0.08378780026635928,0.3674967846976306,0.4915861882283773,0.3798980001896861,0.4117337776267482,0.19986804607338057,0.20452650549680468,0.3963881308031742,0.4284898484666709,0.284517540016828,0.23749446302528654,0.21249607169833598,0.2094544038647312,0.17626688606840615,0.19445424474316414,0.14399731626199128,-0.10473645345108913,0.09361558025293061,0.10108943067576201,0.1655362262137957,-0.056883688227681986,0.28520140881584805,0.12265842528050246,0.44713200756497606,0.05264080036312298,0.27639537904276,0.28812748880415195
Frontal_Mid_Orb_R,0.282667058821032,0.4627578257680593,0.30424160106122644,0.5303974727040517,0.34549899395602546,0.5353440992342601,0.4687182310804082,0.5689161747393925,0.5737820033218279,1.0,0.31393841316420773,0.4376002295826609,0.37961164056998536,0.4248972245489538,0.5334728984221561,0.6027106273140526,0.25901876032727933,0.16403655157157504,0.41847896409765545,0.3819176455511502,-0.10469727099268437,0.03377384628741364,0.49526457380128286,0.5522719952143034,0.21365997318103444,0.4098731655633461,0.258022756823041,0.12909069939649126,0.34453656331198557,0.21763973429561956,0.2804558799631054,0.3905724399656454,0.4502814904039443,0.5294988804819688,0.3515299037340608,0.4446252183263876,0.2007846455804538,0.20476209145408075,0.09711768736445127,0.24419428700636991,0.19878777623672902,0.1684625552126024,0.4502849701296222,0.4247705972309103,0.42963471307537443,0.427106089389064,0.2640269852072812,0.38969227673136475,0.4184635414333705,0.4797263958238362,0.2814086005741014,0.38343697595619497,0.2710706722084271,0.3445200551259651,0.24503939819310555,0.26940605486158836,0.24888755012987662,0.3619833258451296,0.12968364167420438,0.4125588944759051,0.3410395488716631,0.5595255530583019,0.07286189481270808,0.30388964056707474,0.19640711534516384,0.519341868240288,0.3383944091994942,0.40606146146021765,0.3406228498405496,0.3730507000462211,0.3619497336538257,0.482933239203046,0.3020550419652144,0.3211843652255696,0.31822724233438704,0.2874145226677595,0.26742613444323465,0.2530682829495022,0.2815704983512067,0.14818378121649584,0.22941818045767814,0.2769338115014772,0.29664820776784756,0.08757871408682097,0.25206405709824853,0.3255794650889614,0.3508704339857901,0.09166217363523077,0.26623569297717264,0.43574714103791085
