region,degree,betweenness,closeness,pagerank,system,condition
Precentral_L,82,0.0021324760180325324,0.9270833333333334,0.013178272475161632,Somatomotor,Healthy
Precentral_R,84,0.002057415286062969,0.9468085106382979,0.015185053825542997,Somatomotor,Healthy
Frontal_Sup_L,82,0.00203115679774913,0.9270833333333334,0.013019266892084254,ExecutiveControl,Healthy
Frontal_Sup_R,82,0.001807400846733206,0.9270833333333334,0.014312006343176958,ExecutiveControl,Healthy
Frontal_Sup_Orb_L,42,0.0015312201649692527,0.6544117647058824,0.005503177141973605,ExecutiveControl,Healthy
Frontal_Sup_Orb_R,79,0.0009084953848677123,0.898989898989899,0.011806005874972424,ExecutiveControl,Healthy
Frontal_Mid_L,81,0.0015305212565628647,0.9175257731958762,0.013441243108007192,ExecutiveControl,Healthy
Frontal_Mid_R,84,0.0025360839043661637,0.9468085106382979,0.013408215845681741,ExecutiveControl,Healthy
Frontal_Mid_Orb_L,49,0.0010939907462545267,0.689922480620155,0.006920806544313924,ExecutiveControl,Healthy
Frontal_Mid_Orb_R,76,0.002618164302363252,0.8725490196078431,0.009979602040374725,ExecutiveControl,Healthy
Frontal_Inf_Oper_L,81,0.001331622589988926,0.9175257731958762,0.013630768066143113,Salience,Healthy
Frontal_Inf_Oper_R,83,0.0018761082676546474,0.9368421052631579,0.01418023714891677,Salience,Healthy
Frontal_Inf_Tri_L,83,0.001669118146349892,0.9368421052631579,0.014824200666615108,Subcortical,Healthy
Frontal_Inf_Tri_R,83,0.0018086080107320174,0.9368421052631579,0.012940515673637437,Subcortical,Healthy
Frontal_Inf_Orb_L,82,0.0023764063059219325,0.9270833333333334,0.01389152653872469,Subcortical,Healthy
Frontal_Inf_Orb_R,77,0.0044795505269207,0.8811881188118812,0.01025462927010604,Subcortical,Healthy
Rolandic_Oper_L,80,0.0029656108602539254,0.9081632653061225,0.012338289081388832,Somatomotor,Healthy
Rolandic_Oper_R,46,0.0013187955708220942,0.6742424242424242,0.006837231507679791,Somatomotor,Healthy
Supp_Motor_Area_L,82,0.0014936272950545025,0.9270833333333334,0.013587179165879884,Subcortical,Healthy
Supp_Motor_Area_R,83,0.0022177078892724324,0.9368421052631579,0.013974592905774161,Subcortical,Healthy
Olfactory_L,58,0.0012925585643010662,0.7416666666666667,-0.0023986541774698765,Subcortical,Healthy
Olfactory_R,65,0.00136023944535273,0.7876106194690266,-0.0041800431954308334,Subcortical,Healthy
Frontal_Sup_Medial_L,77,0.001673033437059171,0.8811881188118812,0.01099693649636092,ExecutiveControl,Healthy
Frontal_Sup_Medial_R,82,0.001979162324333814,0.9270833333333334,0.014425114113241665,ExecutiveControl,Healthy
Frontal_Med_Orb_L,25,0.001227044213084352,0.5816993464052288,0.004024067844051122,Subcortical,Healthy
Frontal_Med_Orb_R,82,0.0024457491269702708,0.9270833333333334,0.011256053951611998,Subcortical,Healthy
Rectus_L,26,0.0007103491108491417,0.5855263157894737,0.0020025878866202027,Subcortical,Healthy
Rectus_R,64,0.0012906558306972464,0.7807017543859649,-0.003723658120360956,Subcortical,Healthy
Insula_L,83,0.0022177078892724324,0.9368421052631579,0.012978107855483532,Salience,Healthy
Insula_R,36,0.0008461971253670475,0.6267605633802817,0.005582675224988065,Salience,Healthy
Cingulum_Ant_L,55,0.0019644132817436422,0.7235772357723578,0.007464598350360551,ExecutiveControl,Healthy
Cingulum_Ant_R,75,0.0017914304476918676,0.8640776699029126,0.010766273251864616,ExecutiveControl,Healthy
Cingulum_Mid_L,82,0.003710103851418102,0.9270833333333334,0.012882921241038613,Subcortical,Healthy
Cingulum_Mid_R,84,0.003550595345117515,0.9468085106382979,0.014345095998433515,Subcortical,Healthy
Cingulum_Post_L,74,0.0028405754283235027,0.8557692307692307,0.009359193337434252,DefaultMode,Healthy
Cingulum_Post_R,76,0.0008956621648343412,0.8725490196078431,0.011953412253127852,DefaultMode,Healthy
Hippocampus_L,81,0.0016503764152317566,0.9175257731958762,0.01270407767882197,Memory,Healthy
Hippocampus_R,80,0.0019089927040183132,0.9081632653061225,0.010465601745820886,Memory,Healthy
